OBJECTID,Name,Area_Code,Work_ID,zone_code,Gov,Address,Shape_Leng,حالة الحصر,المباني المنجزة,إجمالي المباني,عدد الوحدات,نسبة الإنجاز %,عدد الفرق,عدد المهندسين,آخر تحديث بواسطة,Shape_Length,Shape_Area
190,غزة-الشاطئ الشمالي,GGA0010,INDAS_G007,FGGA0010_E018,غزة, ,1696.18849625,مناطق حصر جديدة,,400.0,790,,,,,1696.1884962496506,131942.74961419508
191,غزة-مربع عايدية ومربع كرم مصلحة,GGA0008,INDAS_G019,FGGA0008_E023,غزة, ,2056.9822844,مناطق حصر جديدة,,294.0,910,,,,,2056.9822843981783,200563.55170618484
192,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E001,غزة,المنطقة محيط مجمع الشفاء,1263.68367518,تم الانتهاء,141.0,141.0,401,100.0,,,سامر وهبة,1263.6836751816409,88911.80353192695
193,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E004,غزة,المنطقة محيط مجمع الشفاء,1459.28312816,تم الانتهاء,69.0,71.0,170,97.0,,,سامر وهبة,1459.2831281641038,117838.70431585357
194,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E005,غزة,المنطقة محيط مجمع الشفاء,845.439804195,تم الانتهاء,76.0,76.0,357,99.98,,,سامر وهبة,845.4398041945462,44990.79537939541
195,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E003,غزة,المنطقة محيط مجمع الشفاء,1450.42408795,تم الانتهاء,82.0,82.0,274,100.0,,,سامر وهبة,1450.4240879467352,109178.59662130645
196,غزة-منطقة الشفاء,GGA0008,INDAS_G001,FGGA0008_E002,غزة,المنطقة محيط مجمع الشفاء,1136.60774794,تم الانتهاء,105.0,105.0,403,100.0,,,سامر وهبة,1136.6077479350058,74789.01248741886
197,غزة-الرمال الجنوبي-ابو الكاس,GGA0006,INDAS_G004,FGGA0006_E004,غزة,المنطقة بين بداية شارع الشهداء  الى (اصدقاء المريض) وشارع جمال عبد الناصر من مفترق الطيران الى مفترق الجامعة الاسلامية,1187.66928617,تم الانتهاء,89.0,89.0,352,100.0,,,سامر وهبة,1187.6692861709466,78603.5138923652
198,غزة-الرمال الجنوبي-ابو الكاس,GGA0006,INDAS_G004,FGGA0006_E001,غزة,المنطقة بين بداية شارع الشهداء  الى (اصدقاء المريض) وشارع جمال عبد الناصر من مفترق الطيران الى مفترق الجامعة الاسلامية,1140.2185593,تم الانتهاء,77.0,85.0,230,91.0,,,سامر وهبة,1140.2185592993853,73784.51010494425
199,غزة-الرمال الجنوبي-ابو الكاس,GGA0006,INDAS_G004,FGGA0006_E003,غزة,المنطقة بين بداية شارع الشهداء  الى (اصدقاء المريض) وشارع جمال عبد الناصر من مفترق الطيران الى مفترق الجامعة الاسلامية,1251.67615631,تم الانتهاء,84.0,85.0,214,99.0,,,سامر وهبة,1251.676156313265,77183.15307143478
200,غزة-مربع الخدمة العامة والقصاصين,GGA0006,INDAS_G028,FGGA0006_E021,غزة, ,1994.5209788,مناطق حصر جديدة,,,711,,,,,1994.5209788031177,211607.14530301173
201,غزة-مدينة الزهراء,GZA0004,INDAS_G006,FGZA0004_E001,غزة,المنطقة بين قصر العدل ومجمع السلامة الطبي  الى شارع الرشيد,2706.517442,مناطق حصر جديدة,,138.0,1369,,,,,2706.517441995224,398637.00132877525
202,غزة-منطقة أبو مدين ومنطقة عزبة الحمامية,GZA0004,INDAS_G049,FGZA0004_E015,غزة, ,6821.02202062,مناطق حصر جديدة,,460.0,513,,,,,6821.022020622434,1217051.204760279
